case_id,ds_code,complainant_iso3,respondent_iso3,product,topic,event_type,event_date,event_qtr,venue,report_url,enforcement_strength,settlement_text,notes,year,event_qtr_start,complainant_agree_usa_strict,complainant_agree_chn_strict,respondent_agree_usa_strict,respondent_agree_chn_strict,gpr_complainant,gpr_respondent,gpr_spread
PHL-CHN-BANANAS-2012,,PHL,CHN,Fresh bananas,Market access during maritime frictions,other,2012-04-08,2012-Q2,Bilateral/AdHoc,https://en.wikipedia.org/wiki/Scarborough_Shoal_standoff,0.0,,Scarborough Shoal standoff begins; political context for trade disruption.,2012,2012-04-01,0.1929824561403508,0.9818181818181818,,,4.333333333333333,57.333333333333336,-53.0
PHL-CHN-BANANAS-2012,,PHL,CHN,Fresh bananas,Market access during maritime frictions,other,2012-05-15,2012-Q2,Bilateral/AdHoc,https://www.cfr.org/timeline/chinas-maritime-disputes,0.0,,Est. $34m losses in May 2012 as China quarantines Philippine fruits; signal of economic costs.,2012,2012-04-01,0.1929824561403508,0.9818181818181818,,,4.333333333333333,57.333333333333336,-53.0
PHL-CHN-BANANAS-2012,,PHL,CHN,Fresh bananas,Market access during maritime frictions,other,2012-06-01,2012-Q2,Bilateral/AdHoc,https://www.reuters.com/article/business/philippines-seeks-new-markets-amid-sea-dispute-with-china-idUSLNE84G026/,0.0,,Banana exporters given until June 1 to comply with stricter quarantine rules.,2012,2012-04-01,0.1929824561403508,0.9818181818181818,,,4.333333333333333,57.333333333333336,-53.0
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),consultations_requested,2013-02-06,2013-Q1,WTO,https://policy.trade.ec.europa.eu/enforcement-and-protection/dispute-settlement/wto-dispute-settlement/wto-disputes-cases-involving-eu/wtds456-india-certain-measures-relating-solar-cells-and-solar-modules_en,,,United States requests consultations with India on DCRs under the National Solar Mission.,2013,2013-01-01,,,0.1276595744680851,0.98,200.0,11.333333333333334,188.66666666666666
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),panel_request,2014-04-14,2014-Q2,WTO,https://www.wto.org/english/tratop_e/dispu_e/cases_e/ds456_e.htm,,,Panel requested by the United States.,2014,2014-04-01,,,0.1724137931034483,0.9836065573770492,226.66666666666663,9.666666666666666,216.99999999999997
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),panel_established,2014-05-23,2014-Q2,WTO,https://www.wto.org/english/tratop_e/dispu_e/cases_e/ds456_e.htm,,,DSB establishes panel.,2014,2014-04-01,,,0.1724137931034483,0.9836065573770492,226.66666666666663,9.666666666666666,216.99999999999997
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),panel_composed,2014-09-24,2014-Q3,WTO,https://www.wto.org/english/tratop_e/dispu_e/cases_e/ds456_e.htm,,,Panel composed.,2014,2014-07-01,,,0.1724137931034483,0.9836065573770492,288.6666666666667,12.666666666666666,276.0
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),panel_report,2016-02-24,2016-Q1,WTO,https://www.worldtradelaw.net/reports/wtopanels/india-solarcells%28panel%29.pdf.download,,,Panel report circulated (WT/DS456/R).,2016,2016-01-01,,,0.2456140350877192,0.9649122807017544,235.0,12.666666666666666,222.33333333333334
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),appellate_body_report,2016-09-16,2016-Q3,WTO,https://www.wto.org/english/tratop_e/dispu_e/456abr_e.pdf,,,Appellate Body report circulated (WT/DS456/AB/R).,2016,2016-07-01,,,0.2456140350877192,0.9649122807017544,215.66666666666663,17.666666666666668,197.99999999999997
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),adoption,2016-10-14,2016-Q4,WTO,https://www.qil-qdi.org/procedural-innovations-in-the-mpia-a-way-to-strengthen-the-wto-dispute-settlement-mechanism/,,,DSB adopts the AB and Panel reports.,2016,2016-10-01,,,0.2456140350877192,0.9649122807017544,196.66666666666663,14.666666666666666,181.99999999999997
